PE장 ID,지번명,X좌표,Y좌표,가로,세로,길이제약,폭제약,높이제약
PE048,J280,0,40,20,20,1000,1000,1000
PE048,J281,0,20,20,20,1000,1000,1000
PE048,J282,0,0,20,20,1000,1000,1000
PE047,J289,103,0,25,18,1000,1000,1000
PE047,J290,78,18,25,17.6,1000,1000,1000
PE047,J291,78,0,25,18,1000,1000,1000
PE047,J292,53,18,25,17.6,1000,1000,1000
PE047,J293,53,0,25,18,1000,1000,1000
PE047,J294,28,18,25,17.6,1000,1000,1000
PE047,J295,0,18,27.5,17.6,1000,1000,1000
PE047,J296,103,18,25,17.6,1000,1000,1000
PE049,J297,60,32,18,16,1000,1000,1000
PE049,J298,40,32,20,16,1000,1000,1000
PE049,J299,20,32,20,16,1000,1000,1000
PE049,J300,60,0,18,16,1000,1000,1000
PE049,J301,40,0,20,16,1000,1000,1000
PE049,J302,20,0,20,16,1000,1000,1000
PE050,J303,80,52,20,18,1000,1000,1000
PE050,J304,80,32,20,20,1000,1000,1000
PE050,J305,60,32,20,16,1000,1000,1000
PE050,J306,40,32,20,16,1000,1000,1000
PE050,J307,20,32,20,16,1000,1000,1000
PE050,J308,0,32,20,16,1000,1000,1000
PE050,J309,100,0,16,14,1000,1000,1000
PE050,J310,80,0,20,14,1000,1000,1000
PE050,J311,60,0,20,14,1000,1000,1000
PE050,J312,40,0,20,14,1000,1000,1000
PE050,J313,20,0,20,14,1000,1000,1000
PE050,J314,0,0,20,14,1000,1000,1000
PE052,J325,42,11,20,15,1000,1000,1000
PE052,J326,22,11,20,15,1000,1000,1000
PE052,J327,2,11,20,15,1000,1000,1000
PE055,J335,48,60,17,17,1000,1000,1000
PE055,J336,30,60,18,17,1000,1000,1000
PE055,J337,48,40,17,20,1000,1000,1000
PE055,J338,30,40,18,20,1000,1000,1000
PE044,J373,0,0,20,17,1000,1000,1000
PE044,J374,0,17,20,17,1000,1000,1000
PE059,J375,17,24,17,12,1000,1000,1000
PE059,J376,17,12,17,12,1000,1000,1000
PE059,J377,17,0,17,12,1000,1000,1000
PE059,J379,0,18,17,18,1000,1000,1000
PE059,J380,0,0,17,18,1000,1000,1000
PE060,J381,174,17,29,16,1000,1000,1000
PE060,J382,145,17,29,16,1000,1000,1000
PE060,J383,116,17,29,16,1000,1000,1000
PE060,J384,87,17,29,16,1000,1000,1000
PE060,J385,58,17,29,16,1000,1000,1000
PE060,J386,29,17,29,16,1000,1000,1000
PE060,J387,0,17,29,16,1000,1000,1000
PE060,J388,174,0,29,17,1000,1000,1000
PE060,J389,145,0,29,17,1000,1000,1000
PE060,J390,116,0,29,17,1000,1000,1000
PE060,J391,87,0,29,17,1000,1000,1000
PE060,J392,58,0,29,17,1000,1000,1000
PE060,J393,29,0,29,17,1000,1000,1000
PE060,J394,0,0,29,17,1000,1000,1000
PE061,J395,102,19,17,19,1000,1000,1000
PE061,J396,85,19,17,19,1000,1000,1000
PE061,J397,68,19,17,19,1000,1000,1000
PE061,J398,51,19,17,19,1000,1000,1000
PE061,J399,34,19,17,19,1000,1000,1000
PE061,J400,17,19,17,19,1000,1000,1000
PE061,J401,0,19,17,19,1000,1000,1000
PE061,J402,102,0,17,19,1000,1000,1000
PE061,J403,85,0,17,19,1000,1000,1000
PE061,J404,68,0,17,19,1000,1000,1000
PE061,J405,51,0,17,19,1000,1000,1000
PE061,J406,34,0,17,19,1000,1000,1000
PE061,J407,17,0,17,19,1000,1000,1000
PE061,J408,0,0,17,19,1000,1000,1000
PE072,J641,18,40,17.5,20,1000,1000,1000
PE072,J642,0,40,17.5,20,1000,1000,1000
PE072,J643,18,20,17.5,20,1000,1000,1000
PE072,J644,0,20,17.5,20,1000,1000,1000
PE072,J645,18,0,17.5,20,1000,1000,1000
PE072,J646,0,0,17.5,20,1000,1000,1000
PE055,J343,15,40,15,20,1000,1000,1000
PE055,J344,0,40,15,20,1000,1000,1000
PE055,J345,15,20,15,20,1000,1000,1000
PE055,J346,15,0,15,20,1000,1000,1000
PE055,J347,0,20,15,20,1000,1000,1000
PE055,J348,0,0,15,20,1000,1000,1000
PE056,J352,120,0,18,21,1000,1000,1000
PE056,J353,100,0,20,21,1000,1000,1000
PE056,J354,80,0,20,21,1000,1000,1000
PE056,J355,60,0,20,21,1000,1000,1000
PE056,J356,40,0,20,21,1000,1000,1000
PE056,J357,20,0,20,21,1000,1000,1000
PE056,J358,0,0,20,21,1000,1000,1000
PE058,J362,130,0,19,15,1000,1000,1000
PE058,J363,107,0,23,15,1000,1000,1000
PE058,J372,149,0,23,15,1000,1000,1000
PE058,J366,84,0,23,15,1000,1000,1000
PE058,J367,65,0,19,15,1000,1000,1000
PE058,J368,43,0,22,15,1000,1000,1000
PE058,J369,19,0,24,15,1000,1000,1000
PE058,J370,0,0,19,15,1000,1000,1000
PE058,J371,172,0,18,15,1000,1000,1000
PE071,J534,0,36,17,18,1000,1000,1000
PE071,J535,0,18,17,18,1000,1000,1000
PE071,J536,0,0,17,18,1000,1000,1000
PE051,J578,60,26,20,15,1000,1000,1000
PE051,J579,40,26,20,15,1000,1000,1000
PE051,J577,80,26,20,15,1000,1000,1000
PE051,J580,20,26,20,15,1000,1000,1000
PE051,J581,0,26,20,15,1000,1000,1000
PE052,J582,142,26,20,15,1000,1000,1000
PE052,J583,122,26,20,15,1000,1000,1000
PE052,J584,102,26,20,15,1000,1000,1000
PE052,J585,82,26,20,15,1000,1000,1000
PE052,J586,62,26,20,15,1000,1000,1000
PE052,J587,42,26,20,15,1000,1000,1000
PE052,J588,22,26,20,15,1000,1000,1000
PE052,J589,2,26,20,15,1000,1000,1000
PE054,J590,34,15,17,16,1000,1000,1000
PE054,J591,17,15,17,16,1000,1000,1000
PE054,J592,0,15,17,16,1000,1000,1000
PE049,J593,60,48,18,16,1000,1000,1000
PE049,J594,40,48,20,16,1000,1000,1000
PE049,J595,20,48,20,16,1000,1000,1000
PE049,J596,60,16,18,16,1000,1000,1000
PE049,J597,40,16,20,16,1000,1000,1000
PE049,J598,20,16,20,16,1000,1000,1000
PE050,J599,100,52,20,18,1000,1000,1000
PE050,J600,100,32,20,20,1000,1000,1000
PE050,J601,60,48,20,14,1000,1000,1000
PE050,J602,40,48,20,14,1000,1000,1000
PE050,J603,20,48,20,14,1000,1000,1000
PE050,J604,0,48,20,14,1000,1000,1000
PE050,J605,100,14,16,15,1000,1000,1000
PE050,J606,80,14,20,15,1000,1000,1000
PE050,J607,60,14,20,15,1000,1000,1000
PE050,J608,40,14,20,15,1000,1000,1000
PE050,J609,20,14,20,15,1000,1000,1000
PE050,J610,0,14,20,15,1000,1000,1000
PE048,J611,20,178,20,16,1000,1000,1000
PE048,J612,20,158,20,20,1000,1000,1000
PE048,J613,20,140,20,18,1000,1000,1000
PE048,J614,20,120,20,20,1000,1000,1000
PE048,J615,20,100,20,20,1000,1000,1000
PE048,J616,20,80,20,20,1000,1000,1000
PE048,J617,20,60,20,20,1000,1000,1000
PE048,J618,20,40,20,20,1000,1000,1000
PE048,J619,20,20,20,20,1000,1000,1000
PE048,J620,20,0,20,20,1000,1000,1000
PE056,J621,120,21,18,20.5,1000,1000,1000
PE056,J622,100,21,20,20.5,1000,1000,1000
PE056,J623,80,21,20,20.5,1000,1000,1000
PE056,J624,60,21,20,20.5,1000,1000,1000
PE056,J625,40,21,20,20.5,1000,1000,1000
PE056,J626,20,21,20,20.5,1000,1000,1000
PE056,J627,0,21,20,20.5,1000,1000,1000
PE058,J628,172,15,18,15,1000,1000,1000
PE058,J629,149,15,23,15,1000,1000,1000
PE058,J630,130,15,19,15,1000,1000,1000
PE058,J631,107,15,23,15,1000,1000,1000
PE058,J632,84,15,23,15,1000,1000,1000
PE058,J633,65,15,19,15,1000,1000,1000
PE058,J634,43,15,22,15,1000,1000,1000
PE058,J635,19,15,24,15,1000,1000,1000
PE058,J636,0,15,19,15,1000,1000,1000
